Nov
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max	Avg	Min
62	49	35
52	48	44
50	46	42
48	41	33
50	46	41
52	45	37
44	38	32
42	40	37
57	50	42
51	49	46
57	52	46
62	54	46
54	49	43
56	47	38
52	49	45
47	44	41
51	42	32
44	36	28
49	38	26
54	52	49
67	58	48
62	58	54
61	57	52
55	45	35
43	39	35
57	48	39
52	46	40
46	40	33
50	43	36
45	41	36
Max	Avg	Min
51	43	35
50	47	43
44	41	36
41	39	35
46	41	35
42	38	33
39	35	32
43	40	36
49	45	42
50	48	46
49	48	46
51	48	45
50	44	39
42	40	37
49	45	39
44	42	37
43	39	32
41	33	28
44	34	27
52	49	44
61	54	49
61	57	54
60	56	42
47	39	35
43	39	35
53	44	38
46	42	35
46	40	33
44	39	35
43	39	36
Max	Avg	Min
100	-	56
100	-	89
100	-	61
100	-	76
100	-	80
100	-	59
100	-	76
100	-	85
100	-	66
100	-	93
86	-	77
100	-	56
96	-	71
100	-	54
100	-	63
100	-	89
100	-	71
100	-	83
100	-	66
100	-	71
100	-	73
100	-	90
100	-	93
100	-	71
100	-	100
100	-	86
100	-	71
100	-	86
100	-	74
100	-	82
Max	Avg	Min
14	-	0
17	-	0
18	-	0
15	-	5
21	-	5
12	-	0
8	-	0
13	-	0
22	-	0
22	-	0
14	-	0
23	-	5
33	-	8
26	-	7
23	-	0
17	-	0
15	-	0
7	-	0
16	-	4
24	-	0
15	-	0
21	-	0
17	-	0
8	-	0
10	-	0
29	-	0
9	-	0
17	-	4
10	-	0
13	-	0
Max	Avg	Min
29.99	-	29.91
29.92	-	29.84
30.08	-	29.89
30.11	-	29.91
30.11	-	29.85
30.26	-	30.14
30.22	-	29.94
29.94	-	29.64
29.87	-	29.62
29.95	-	29.77
30.06	-	30
30.01	-	29.74
30.12	-	29.74
30.18	-	29.9
29.88	-	29.62
29.92	-	29.68
30.38	-	29.94
30.37	-	30.17
30.18	-	29.77
30	-	29.69
30.03	-	29.94
30.08	-	30
30.14	-	29.97
30.2	-	30.12
30.12	-	29.67
29.91	-	29.6
30.22	-	29.91
30.37	-	30.06
30.46	-	30.28
30.29	-	30.17
Max	Avg	Min
-	0.00	-
-	0.22	-
-	0.02	-
-	0.00	-
-	0.52	-
-	0.00	-
-	0.00	-
-	0.14	-
-	0.24	-
-	0.79	-
-	0.00	-
-	0.02	-
-	0.37	-
-	0.00	-
-	0.99	-
-	0.64	-
-	0.10	-
-	0.00	-
-	0.00	-
-	0.20	-
-	0.06	-
-	0.06	-
-	0.85	-
-	0.00	-
-	0.04	-
-	0.25	-
-	0.00	-
-	0.22	-
-	0.00	-
-	0.17	-
