Nov
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
Max	Avg	Min
66	62	58
68	61	53
58	51	43
66	60	53
59	51	43
61	52	42
51	43	34
50	42	34
53	41	28
51	41	30
55	42	29
56	41	26
52	41	30
55	44	33
52	47	42
52	45	37
62	50	37
55	42	28
53	40	26
48	37	26
50	44	38
53	48	43
54	51	47
50	43	35
49	44	39
61	51	41
61	55	48
56	52	48
47	46	45
50	46	42
Max	Avg	Min
58	55	53
57	51	46
51	46	41
55	48	43
48	45	42
48	42	35
43	37	31
40	36	28
39	32	26
40	34	29
37	31	28
36	30	24
39	33	27
45	40	31
46	42	34
46	42	39
46	38	30
36	31	25
36	29	23
36	29	23
47	42	34
46	43	41
49	45	40
43	40	34
42	40	37
48	44	40
53	50	45
47	46	43
46	43	41
44	41	38
Max	Avg	Min
93	-	78
90	-	52
100	-	72
93	-	48
93	-	67
93	-	46
100	-	71
92	-	66
100	-	54
96	-	66
100	-	47
92	-	43
92	-	54
96	-	63
100	-	77
100	-	83
93	-	36
92	-	46
100	-	50
100	-	60
93	-	85
86	-	68
93	-	80
100	-	80
100	-	76
96	-	55
93	-	67
93	-	71
93	-	86
96	-	74
Max	Avg	Min
12	-	5
20	-	0
8	-	0
20	-	5
16	-	0
9	-	0
13	-	0
16	-	0
7	-	0
18	-	0
17	-	0
10	-	0
8	-	0
10	-	0
13	-	0
10	-	0
18	-	4
9	-	0
8	-	0
8	-	0
15	-	0
29	-	6
17	-	5
8	-	0
10	-	0
17	-	4
21	-	0
21	-	0
22	-	0
24	-	5
Max	Avg	Min
30.29	-	30.23
30.39	-	30.19
30.38	-	30.14
30.18	-	30.05
30.24	-	30.18
30.3	-	30.24
30.45	-	30.29
30.53	-	30.39
30.4	-	30.25
30.36	-	30.28
30.36	-	30.29
30.4	-	30.35
30.46	-	30.37
30.44	-	30.38
30.38	-	30.25
30.25	-	30.12
30.15	-	30.06
30.19	-	30.11
30.17	-	30.06
30.06	-	29.9
29.89	-	29.78
29.92	-	29.55
30	-	29.72
30.19	-	30.02
30.19	-	30.13
30.13	-	29.78
29.88	-	29.76
29.86	-	29.63
29.79	-	29.51
29.93	-	29.81
Max	Avg	Min
-	0.00	-
-	0.01	-
-	0.00	-
-	0.07	-
-	0.02	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.00	-
-	0.26	-
-	0.54	-
-	0.47	-
-	0.00	-
-	0.00	-
-	0.00	-
-	1.01	-
-	0.28	-
-	0.05	-
-	0.31	-

